ScoutId,MatchKey,Alliance,DriverStation,TeamNumber,Preloaded,AutoGrid,AutoMissed,Mobile,AutoAttemptedCharge,AutoChargingState,AutoNotes,TeleopGrid,TeleopMissed,TeleopNotes,EndgameAttemptedCharge,EndgameFinalCharge,FinalChargeTime,EndgameNotes,Disable,Tippy,DefenseTime,DefenseRating,DriverRating,RatingNotes,scanRaw,AutoCones,AutoCubes,TeleopCones,TeleopCubes,AttemptedTripleBalance,SuccessfulTripleBalance,uuid
Owen and Joshua,qm1,blue,3,1023,false,,0.0,0.0,None,, | Missed cube in attempt to double wcore,1Lcube|2Lcube|2M|3H|4Lcone|4M|5Lcube|6M,0.0, | Knocked teammate over| good sped thoughDriving is way too aggressive| knocked teammate over and broke loading station window Struggled to cross charge station| bumper too low,Engage,Engage,, | Waited for teammate,0.0,0.5,30.0,2.5,4.0, | Utilized high speed well| but had trouble controlling it ,Owen|||blue|3|1023|false||0|false||||1Lcube|2Lcube|2M|3H|4Lcone|4M|5Lcube|6M|0||Engage|Dock|||false|true|40|4|4|,[],[],"['High', 'Low', 'Mid', 'Mid']","['Low', 'Low', 'Mid', 'Low']",0.0,0.0,cedccfba-d613-4113-baa7-ca12afbb8a77
shayaan,qm1,blue,2,5804,true,4H,0.0,0.0,Engage,None,tries to engage but hits charge station?,1H|3H|4Lcone|5Lcone|5M|5H|6H|7Lcone,0.0,lots of troubles with double sub intake for a lil,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,shayaan|qm|1|blue|2|5804|true|4H|0|false|Engage|None|tries to engage but hits charge station?|1H|3H|4Lcone|5Lcone|5M|5H|6H|7Lcone|0|lots of troubles with double sub intake for a lil|Engage|Engage|||false|false|0|0|4|,['High'],[],"['High', 'High', 'Low', 'Low', 'High', 'Low']","['Mid', 'High']",0.0,0.0,528aaa4d-c3c7-498a-bc5e-1fd251aa4e6f
Suzy,qm1,blue,1,9030,true,7Lcube,0.0,1.0,None,None,,2H|9Lcube,1.0,,None,None,,,0.0,1.0,0.0,0.0,0.0,Tipped over,Suzy|qm|1|blue|1|9030|true|7Lcube|0|true||None||2H|9Lcube|1|||None|||false|true|0|0|0|Tipped over,[],['Low'],[],"['High', 'Low']",0.0,0.0,2fe6fb5b-1be6-496e-9e82-57f8fc6ca854
Blen,qm1,red,2,4663,true,2H,0.0,1.0,None,,,4M|4H|3H|2M|1H,0.0,takes a long time to intake cones from double sub ,None,Park,,,0.0,0.0,0.0,0.0,2.0,,Blen|qm|1|red|2|4663|true|8H|0|true||||6M|6H|7H|8M|9H|0|takes a long time to intake cones from double sub ||Park|||false|false|0|0|2|,[],['High'],"['Mid', 'High', 'High', 'High']",['Mid'],0.0,1.0,00bf484a-adcc-4456-b7a7-c5a1655e2fbb
Ryan,qm1,red,3,5338,true,9H,0.0,0.0,None,None,,7H|6Lcone|6H|3M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,,Ryan|qm|1|red|3|5338|true|1H|0|false||None||3H|4Lcone|4H|7M|0||Engage|Engage|||false|false|0|0|5|,['High'],[],"['High', 'Low', 'High', 'Mid']",[],0.0,1.0,f7e9464a-2164-49ea-98a8-c92366f8e0cf
Aran,qm1,red,1,7428,true,5H|1M|1M,0.0,1.0,Engage,Engage,,8H|2M|1M,0.0,,Engage,Engage,,,0.0,1.0,0.0,0.0,2.0,Slow,Aran|qm|1|red|1|7428|true|5H|9M|9M|0|true|Engage|Engage||2H|8M|9M|0||Engage|Engage|||false|true|0|0|2|Slow,"['Mid', 'Mid']",['High'],['Mid'],"['High', 'Mid']",0.0,1.0,c5ee57d5-aee4-4ef9-9732-3cc74be86c5f
Abhimanyu Ghosh,qm1,red,1,8808,true,2H,0.0,0.0,None,None,,5Lcube|5M|2M|1H,0.0,,None,Engage,,,0.0,0.0,0.0,0.0,0.0,Slight issue grabbing cones,Abhimanyu Ghosh||1|red|1|8808|true|8H|0|false||None||5Lcube|5M|8M|9H|0|||Engage|||false|false|0|0|0|Slight issue grabbing cones,[],['High'],['High'],"['Low', 'Mid', 'Mid']",0.0,1.0,99122159-a61e-4ce6-a194-80ab716b9f12
sarah,qm10,blue,3,179,true,9Lcone|9H,1.0,1.0,None,None,,1M|1H|4M|7H|8Lcone|8H,1.0,,None,Park,,,0.0,0.0,0.0,0.0,0.0,,sarah|qm|10|blue|3|179|true|9Lcone|9H|1|true||None||1M|1H|4M|7H|8Lcone|8H|1|||Park|||false|false|0|0|0|,"['Low', 'High']",[],"['Mid', 'High', 'Mid', 'High', 'Low']",['High'],0.0,0.0,3735a2c1-ad6d-4709-9426-4579b118f1a5
Nikhil,qm10,blue,1,3003,false,4H,0.0,0.0,Engage,Engage,,5M|6M|7M|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,,Nikhil|qm|10|blue|1|3003|false|4H|0|false|Engage|Engage||5M|6M|7M|9M|0||Engage|Engage|||false|false|0|0|3|,['High'],[],"['Mid', 'Mid', 'Mid']",['Mid'],0.0,0.0,cd9af1e6-d894-4715-a92c-e2f15c85caae
Shashwat,qm10,blue,2,3940,true,2H,0.0,1.0,None,None,,2Lcube|3H|5H|6H|7Lcube|8Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Shashwat|qm|9|blue|2|3940|true|2H|0|true||None||2Lcube|3H|5H|6H|7Lcube|8Lcube|1||Engage|Engage|||false|false|0|0|0|,[],['High'],"['High', 'High']","['Low', 'High', 'Low', 'Low']",0.0,0.0,57cd9653-4dc4-46fd-a39f-5546580ac9a6
Blen ,qm10,red,2,7617,true,8M|7M,0.0,1.0,None,,,7M|6H|5M|5H|4H,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,0.0,,Blen |qm|10|red|2|7617|true|2M|3M|0|true||||3M|4H|5M|5H|6H|0||Engage|Engage|4||false|false|0|0|0|,['Mid'],['Mid'],"['Mid', 'High', 'High']","['Mid', 'High']",1.0,1.0,1ad64ee5-5c57-49cb-9e70-ae8c747edf0f
Sydney,qm10,red,1,9062,true,5Lcone,0.0,1.0,None,None,,,0.0,Shot cubes to the grid ,Engage,Engage,7,,0.0,0.0,0.0,0.0,2.0,,Sydney|qm|10|red|1|9062|true|5Lcone|0|true||None|||0|Shot cubes to the grid |Engage|Engage|7||false|false|0|0|2|,['Low'],[],[],[],1.0,1.0,e43c2859-4a23-4ec2-9637-14998f5ed7fb
alexander,qm10,red,3,9126,true,2H,0.0,1.0,None,None,,9Lcube|8H|2M,1.0,,Engage,Engage,,Triple Engage,0.0,0.0,0.0,0.0,3.0,,alexander|qm|10|red|3|9126|true|8H|0|true||None||1Lcube|2H|8M|1||Engage|Engage||Triple Engage|false|false|0|0|3|,[],['High'],[],"['Low', 'High', 'Mid']",1.0,1.0,f419f334-1419-4466-b4e8-f183459ff552
Joshua,qm100,blue,3,1468,true,9Lcone,1.0,1.0,None,,,1M|3Lcone|3M|4H|5H|6H,0.0,Struggles against defense,Engage,Engage,10,Triple dock,0.0,0.0,0.0,0.0,0.0,Poor counter defense,Joshua|qm|100|blue|3|1468|true|9Lcone|1|true||||1M|3Lcone|3M|4H|5H|6H|0|Struggles against defense|Engage|Engage|10|Triple dock|false|false|0|0|0|Poor counter defense,['Low'],[],"['Mid', 'Low', 'Mid', 'High', 'High']",['High'],1.0,1.0,3257268e-012f-4c17-8647-3b66247080f2
Arav and Owen,qm100,blue,2,1757,true,1H|2M,0.0,1.0,None,None, | ,4M|4H|7H|8H|9M|9H,0.0, | ,Engage,Engage,, | ,0.0,0.0,10.0,1.0,4.5,Counter defense kinda mid tho  | We,Arav|qm|100|blue|2|1757|true|1H|2M|0|true||None||4M|4H|7H|8H|9M|9H|0||Engage|Engage|2||false|false|0|0|5|Counter defense kinda mid tho ,['High'],['Mid'],"['Mid', 'High', 'High', 'Mid', 'High']",['High'],1.0,1.0,26244a34-2c1c-4d65-b3c6-f1cbc88f1d35
Suzy,qm100,blue,1,9140,true,5H,0.0,0.0,Engage,Engage,,5Lcube|6M|7M|8M|9M,0.0,,Engage,Engage,4,,0.0,0.0,0.0,0.0,4.0,Played well counter defense,Suzy|qm|100|blue|1|9140|true|5H|0|false|Engage|Engage||5Lcube|6M|7M|8M|9M|0||Engage|Engage|4||false|false|0|0|4|Played well counter defense,[],['High'],"['Mid', 'Mid', 'Mid']","['Low', 'Mid']",1.0,1.0,96bf2c50-874f-457b-a274-fdbc074880e9
Aran,qm100,red,1,1466,true,5H,0.0,1.0,Engage,Engage,,3Lcone|3M|3H|2M|1Lcube|1M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,Aran|qm|100|red|1|1466|true|5H|0|true|Engage|Engage||7Lcone|7M|7H|8M|9Lcube|9M|0||Engage|Engage|||false|false|0|0|4|,[],['High'],"['Low', 'Mid', 'High', 'Mid']","['Mid', 'Low']",1.0,1.0,cfda308f-caf2-4631-b3cb-72144ff2e614
Amogh,qm100,red,2,2960,false,6H,0.0,1.0,None,None,,9H,0.0,,Engage,Engage,,,0.0,0.0,0.0,3.0,0.0,,Amogh|qm|100|red|2|2960|false|4H|0|true||None||1H|0||Engage|Engage|||false|false|0|3|0|,['High'],[],['High'],[],1.0,1.0,8cae525c-1c1d-48ab-8702-2cf69e37e0ef
Nikhil,qm100,red,3,4522,true,3Lcone|2H,0.0,1.0,None,None,,7Lcube|7M|7H|6M|6H|4H|3H|1H,1.0,Tried shooting into high but went into hybrid. Shooting is inaccurate ,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,,Nikhil|qm|100|red|3|4522|true|7Lcone|8H|0|true||None||3Lcube|3M|3H|4M|4H|6H|7H|9H|1|Tried shooting into high but went into hybrid. Shooting is inaccurate |Engage|Engage|||false|false|0|0|5|,['Low'],['High'],"['Mid', 'High', 'Mid', 'High', 'High', 'High', 'High']",['Low'],1.0,1.0,82d4e52c-3ac9-4e62-a41c-bf476b49ae67
Suzy and Owen,qm101,blue,1,857,true,4H|5H|6H|8H,0.0,0.0,Engage,None, | ,4H|5H|6H|7H|9M|9H,0.0, | Fast intake,Engage,Engage,, | Fast driving but also quite clumsy,0.0,0.5,20.0,1.5,4.0,Moved opposite robot off of charge station | ,Suzy|qm|101|blue|1|857|true|4H|5H|6H|8H|0|false||None||4H|5H|6H|7H|9M|9H|0||Engage|Engage|6||false|false|0|0|4|Moved opposite robot off of charge station,"['High', 'High']","['High', 'High']","['High', 'High', 'High', 'Mid', 'High']",['High'],0.0,0.0,88885572-2d77-4819-aa7e-455fc0f6ffd6
Joshua,qm101,blue,3,1123,true,8M|8H|9Lcone,0.0,1.0,None,,Triple auto,3Lcone|4Lcone|6H,2.0,Causes 3184 to fall over =DQ,None,Park,,,0.0,0.0,80.0,4.0,5.0,Had really strong defense| but went too aggressive with it and got disqualified,Joshua|qm|101|blue|3|1123|true|8M|8H|9Lcone|0|true|||Triple auto|3Lcone|4Lcone|6H|2|Causes 3184 to fall over =DQ||Park|||false|false|80|4|5|Had really strong defense| but went too aggressive with it and got disqualified,['Low'],"['Mid', 'High']","['Low', 'Low', 'High']",[],0.0,0.0,57647496-47c1-43d7-aab3-10f672b484c8
Arav and Owen,qm101,blue,2,5553,true,,0.0,0.0,None,None, | Did not move on auto,,0.0, | Did not move on teleop,None,None,, | Didnt move all game,1.0,0.0,0.0,0.0,1.0, | ,Arav|qm|101|blue|2|5553|true||0|false||None|||0|||None|||true|false|0|0|1|,[],[],[],[],0.0,0.0,95eb1b5f-e105-4d28-bd09-562db5e2d17c
Aran,qm101,red,1,3184,true,2H|1H,0.0,1.0,None,None,,7M|6H|3M|3H|1M,0.0,Got tipped two times,None,None,,,0.0,0.0,20.0,0.0,2.0,,Aran|qm|101|red|1|3184|true|8H|9H|0|true||None||3M|4H|7M|7H|9M|0|Got tipped two times||None|||false|false|20|0|2|,['High'],['High'],"['Mid', 'High', 'Mid', 'High', 'Mid']",[],0.0,0.0,046e1f29-3c26-4924-842e-98c02328b799
Suzy,qm101,red,3,3767,true,5H,0.0,0.0,Engage,Engage,,9M|7M|7H|3M|2M,0.0,,Engage,Engage,20,,0.0,0.0,0.0,0.0,4.0,Avoided defense well,Suzy|qm|101|red|3|3767|true|5H|0|false|Engage|Engage||1M|3M|3H|7M|8M|0||Engage|Engage|20||false|false|0|0|4|Avoided defense well,[],['High'],"['Mid', 'Mid', 'High', 'Mid']",['Mid'],0.0,0.0,9787d28e-d208-47a4-b44f-f5fd4d40eb32
Amogh,qm101,red,2,5990,true,9H|8H,0.0,1.0,Engage,Engage,,9Lcone|8Lcube|6Lcube|5Lcube|5M|3H|1Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Amogh||101|red|2|5990|true|1H|2H|0|true|Engage|Engage||1Lcone|2Lcube|4Lcube|5Lcube|5M|7H|9Lcube|0||Engage|Engage|||false|false|0|0|0|,['High'],['High'],"['Low', 'High']","['Low', 'Low', 'Low', 'Mid', 'Low']",0.0,0.0,f4154e5c-f00a-47bd-b241-286e47e8aa01
Joshua,qm102,blue,3,3161,true,9M,0.0,1.0,None,,,1M|2M|3M|4M|8Lcube,0.0,,Engage,Dock,15,Poor communication ,0.0,0.0,20.0,2.0,0.0,,Joshua|qm|3161|blue|3|3161|true|9M|0|true||||1M|2M|3M|4M|8Lcube|0||Engage|Dock|15|Poor communication |false|false|20|2|0|,['Mid'],[],"['Mid', 'Mid', 'Mid']","['Mid', 'Low']",1.0,0.0,7c93c096-26fa-4fa4-90ee-8443d982dfb0
Joshua,qm102,blue,3,3163,true,9Lcone,1.0,1.0,None,,,1M|2M|3M|3H|4M|4H|8H,1.0,Exceptional defense| forced a penalty from red by spawn camping red zone| but got penalties on later.,Engage,Engage,3,Swerved around station from red zone and landed it in a couple seconds somehow ,0.0,0.0,80.0,5.0,5.0,Exceptional defense :),Joshua||103|blue|3|3163|true|9Lcone|1|true||||1M|2M|3M|3H|4M|4H|8H|1|Exceptional defense| forced a penalty from red by spawn camping red zone| but got penalties on later.|Engage|Engage|3|Swerved around station from red zone and landed it in a couple seconds somehow |false|false|80|5|5|Exceptional defense :),['Low'],[],"['Mid', 'Mid', 'High', 'Mid', 'High']","['Mid', 'High']",1.0,0.0,a25d181c-a190-447f-925c-ea2d1b0c8195
Suzy,qm102,blue,1,4145,true,2H,0.0,1.0,None,None,,3Lcone|7H|8H|9H,0.0,,Engage,Dock,7,,0.0,0.0,0.0,0.0,4.0,Very sturdy,Suzy|qm|103|blue|1|4145|true|2H|0|true||None||3Lcone|7H|8H|9H|0||Engage|Dock|7||false|false|0|0|4|Very sturdy,[],['High'],"['Low', 'High', 'High']",['High'],1.0,0.0,1467637c-2cfa-44ff-9083-e285fa59fa93
Arav and Owen,qm102,blue,2,7428,true,5H,0.0,1.0,Engage,None, | ,4M|5M|6M|7M,0.0, | ,Engage,None,, | ,0.0,0.0,10.0,0.5,2.5, | ,Arav|qm|102|blue|2|7428|true|5H|0|true|Engage|Dock||4M|5M|6M|7M|0||Engage|Dock|||false|false|0|0|3|,[],['High'],"['Mid', 'Mid', 'Mid']",['Mid'],1.0,0.0,fc8566cf-7a90-4ac2-b098-e347c128e01e
sarah,qm102,red,3,11,true,4H,0.0,1.0,Engage,Engage,,8M|7Lcone|7H|6Lcone|6M|6H|5H,3.0,,None,Park,,,0.0,0.0,0.0,0.0,4.0,,sarah|qm|102|red|3|11|true|6H|0|true|Engage|Engage||2M|3Lcone|3H|4Lcone|4M|4H|5H|3|||Park|||false|false|0|0|4|,['High'],[],"['Low', 'High', 'Low', 'Mid', 'High']","['Mid', 'High']",0.0,0.0,10c55f6f-6e0a-41e6-9b0b-6a6bff149b33
Aran and Rachel,qm102,red,1,2992,true,9H|8H|1M|1M,0.0,1.0,None,None, | ,3M|3H|2M|2H|1M|1H,1.0, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,0.0, | ,Aran|qm|102|red|1|2992|true|1H|2H|9M|9M|0|true||None||7M|7H|8M|8H|9M|9H|1||Engage|Engage|||false|false|0|0|0|,"['High', 'Mid', 'Mid']",['High'],"['Mid', 'High', 'Mid', 'High']","['Mid', 'High']",0.0,0.0,64408dd5-1240-4260-9834-c65c542d4cfd
Amogh,qm102,red,2,8847,true,2Lcube,0.0,1.0,None,,,7Lcube|6Lcube|5Lcone|4Lcube|3Lcube|3H|1Lcube,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Amogh||102|red|2|8847|true|8Lcube|0|true||||3Lcube|4Lcube|5Lcone|6Lcube|7Lcube|7H|9Lcube|0||Engage|Engage|||false|false|0|0|0|,[],['Low'],"['Low', 'High']","['Low', 'Low', 'Low', 'Low', 'Low']",0.0,0.0,a4c6464c-8220-4ffe-9678-e91e8c549d54
Suzy,qm103,blue,1,1816,false,6H,0.0,0.0,Engage,Engage,,7H,0.0,,None,Park,,,1.0,0.0,0.0,2.0,4.0,,Suzy|qm|103|blue|1|1816|false|6H|0|false|Engage|Engage||7H|0|||Park|||true|false|0|2|4|,['High'],[],['High'],[],0.0,0.0,45c6706d-9973-4de3-8e0e-a49e7be63492
Arav,qm103,blue,2,4112,true,1H,0.0,1.0,None,None,,3H|4H,0.0,,Engage,Engage,3,,1.0,0.0,0.0,0.0,0.0,,Arav|qm|103|blue|2|4112|true|1H|0|true||None||3H|4H|0||Engage|Engage|3||true|false|0|0|0|,['High'],[],"['High', 'High']",[],0.0,0.0,0a530064-e578-44f3-b5b0-d53cd8e6dfd8
Ryan,qm103,blue,3,5135,true,8H,0.0,1.0,None,None,,4M|5H|9H,0.0,,Engage,Engage,,,0.0,0.0,60.0,3.0,4.0,,Ryan|qm|103|blue|3|5135|true|8H|0|true||None||4M|5H|9H|0||Engage|Engage|||false|false|60|3|4|,[],['High'],"['Mid', 'High']",['High'],0.0,0.0,b1ea14f2-c060-4c8d-bf05-0663db034885
Aran,qm103,red,1,1501,true,1H,0.0,1.0,None,None,,3Lcube|3H|2Lcone|2M|1Lcube,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,4.0,,Aran|qm|103|red|1|1501|true|9H|0|true||None||7Lcube|7H|8Lcone|8M|9Lcube|1||Engage|Engage|||false|false|0|0|4|,['High'],[],"['High', 'Low']","['Low', 'Mid', 'Low']",1.0,1.0,3e196f54-6ed2-41c9-82aa-14da1e663ecd
Amogh,qm103,red,2,1629,false,,0.0,1.0,Engage,Engage,,6Lcube|6M|5Lcone|3H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Amogh||103|red|2|1629|false||0|true|Engage|Engage||4Lcube|4M|5Lcone|7H|0||Engage|Engage|||false|false|0|0|0|,[],[],"['Mid', 'Low', 'High']",['Low'],1.0,1.0,41e6b5fc-b69c-4470-8754-3fe973190631
Adrian  and Alexander,qm103,red,3,4143,true,8M|8H|7H,0.0,1.0,None,None, | ,9M|9H|7Lcone|7M|5M|4M|3M,0.0, | Noticed 5135 was defending too close so they bumped into them on purpose to cause a foul. They did this twice,Engage,Engage,, | Triple Engage,0.0,0.0,0.0,0.0,4.5, | ,Adrian |qm|103|red|3|4143|true|2M|2H|3H|0|true||||1M|1H|3Lcone|3M|5M|6M|7M|0||Engage|Engage|5.1||false|false|0|0|4|,['High'],"['Mid', 'High']","['Mid', 'High', 'Low', 'Mid', 'Mid', 'Mid']",['Mid'],1.0,1.0,b44a116a-c372-4cff-a528-38094410b0c6
paul and Joshua,qm104,blue,3,195,true,2Lcone|2M,0.5,1.0,None,, | Attempted triple,1M|1H|2H|3H|4H|5H|6H,0.0, | Good cycling speed but almost fell over numerous times,Engage,Engage,, | ,0.0,0.5,20.0,2.0,5.0, | Very good driving but they need to watch tipping lol,paul|qm|104|blue|3|195|true|2Lcone|2M|1|true||||1M|1H|2H|3H|4H|5H|6H|0||Engage|Engage|1||false|false|0|0|5|,['Low'],['Mid'],"['Mid', 'High', 'High', 'High', 'High']","['High', 'High']",0.0,0.0,10a1baca-ba75-4814-bc98-9db97227c5ed
Sanjay,qm104,blue,1,6909,true,8H,0.0,1.0,None,None,,5H|8M|9Lcube,0.0,slow asf,None,None,,,0.0,1.0,0.0,0.0,1.0,,Sanjay|qm|104|blue|1|6909|true|8H|0|true||None||5H|8M|9Lcube|0|slow asf||None|||false|true|0|0|1|,[],['High'],[],"['High', 'Mid', 'Low']",0.0,0.0,3f298a70-04b5-42f8-92b5-53781ef78ba2
sarah,qm104,blue,2,7072,true,5M,0.0,1.0,Engage,Engage,,3Lcube|4Lcube|8Lcube,1.0,,Engage,Engage,5,,0.0,0.0,0.0,0.0,2.0,,sarah|qm|104|blue|2|7072|true|5M|0|true|Engage|Engage||3Lcube|4Lcube|8Lcube|1||Engage|Engage|5||false|false|0|0|2|,[],['Mid'],[],"['Low', 'Low', 'Low']",0.0,0.0,a6407072-9ff4-4c2d-9966-1b0e54bf0c16
Blen,qm104,red,2,494,true,1M|1H,0.0,1.0,None,,,6H|5H|4Lcone|4H|3M|3H|2H|1M,1.0,,None,Park,,,0.0,0.0,0.0,0.0,5.0,really quick cycles and good at double substation ,Blen|qm|104|red|2|494|true|9M|9H|0|true||||4H|5H|6Lcone|6H|7M|7H|8H|9M|1|||Park|||false|false|0|0|5|really quick cycles and good at double substation ,"['Mid', 'High']",[],"['High', 'Low', 'High', 'Mid', 'High', 'Mid']","['High', 'High']",0.0,0.0,a6d9963b-6913-4f43-83da-a96688a67edd
sarah,qm104,red,3,5338,true,9H,0.0,1.0,None,None,,9M|8M|8H|7M|7H|6M,0.0,,None,None,,,0.0,0.0,0.0,0.0,0.0,,sarah|qm|104|red|3|5338|true|1H|0|true||None||1M|2M|2H|3M|3H|4M|0|||None|||false|false|0|0|0|,['High'],[],"['Mid', 'Mid', 'High', 'Mid']","['Mid', 'High']",0.0,0.0,d4ecb81d-066b-421c-9687-cdf076656842
Rachel,qm104,red,1,8015,true,,0.0,0.0,None,None,,,0.0,,None,Park,,,1.0,0.0,0.0,0.0,0.0,,Rachel|qm|104|red|1|8015|true||0|false||None|||0|||Park|||true|false|0|0|0|,[],[],[],[],0.0,0.0,1ed359b1-fa41-47e2-93ea-f2385b24b1a0
Shashwat,qm105,blue,2,179,true,3H,1.0,0.0,None,None,,1M|1H|3M|4M|6H|7M,1.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Shashwat|qm|105|blue|2|179|true|3H|1|false||None||1M|1H|3M|4M|6H|7M|1||Engage|Engage|||false|false|0|0|0|,['High'],[],"['Mid', 'High', 'Mid', 'Mid', 'High', 'Mid']",[],1.0,1.0,4397a792-50e9-4bab-8b30-fa2a0c6f8dc6
paul and sarah,qm105,blue,3,503,true,4H,0.0,1.0,Engage,None, | ,2Lcube|2M|2H|3Lcube|5Lcube|5M,0.5, | ,Engage,Engage,, | ,0.0,0.0,0.0,0.0,2.0, | ,paul|qm|105|blue|3|503|true|4H|0|true|Engage|||2Lcube|2M|2H|3Lcube|5Lcube|5M|0||Engage|Engage|3||false|false|0|0|4|,['High'],[],[],"['Low', 'Mid', 'High', 'Low', 'Low', 'Mid']",1.0,1.0,1342c89f-5853-4cab-8249-ec149be06081
Nikhil,qm105,blue,1,3039,true,9H,0.0,0.0,None,None,,5H|6Lcube|7M|7H|8Lcube|9Lcube|9M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,3.0,,Nikhil|qm|105|blue|1|3039|true|9H|0|false||None||5H|6Lcube|7M|7H|8Lcube|9Lcube|9M|0||Engage|Engage|||false|false|0|0|3|,['High'],[],"['Mid', 'High', 'Mid']","['High', 'Low', 'Low', 'Low']",1.0,1.0,92dd8b5b-a4e1-4234-b307-39eccf6ad259
alexander,qm105,red,3,2642,true,8H|7Lcone,0.0,1.0,None,None,,9Lcone|9M|9H|7M|7H,1.0,,Engage,Engage,,Double engage,0.0,0.0,0.0,0.0,4.0,,alexander|qm|105|red|3|2642|true|2H|3Lcone|0|true||None||1Lcone|1M|1H|3M|3H|1||Engage|Engage||Double engage|false|false|0|0|4|,['Low'],['High'],"['Low', 'Mid', 'High', 'Mid', 'High']",[],1.0,1.0,3b6e1588-a573-4061-8e8a-1b81dcdaa4be
Chris,qm105,red,1,3940,true,5H,0.0,1.0,Engage,Engage,,8M|3Lcube|3M|3H|2H|1M,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Chris|qm|105|red|1|3940|true|5H|0|true|Engage|Engage||2M|7Lcube|7M|7H|8H|9M|0||Engage|Engage|||false|false|0|0|0|,[],['High'],"['Mid', 'High', 'Mid']","['Mid', 'Low', 'High']",1.0,1.0,642c2c63-e53a-4bdf-87fb-4359f503aceb
Blen,qm105,red,2,4909,true,2M|1H,0.0,1.0,None,,,6M|6H|5Lcube|5M|4Lcone|4M|4H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,quick cycles ,Blen|qm|105|red|2|4909|true|8M|9H|0|true||||4M|4H|5Lcube|5M|6Lcone|6M|6H|0||Engage|Engage|||false|false|0|0|5|quick cycles ,['High'],['Mid'],"['Mid', 'High', 'Low', 'Mid', 'High']","['Low', 'Mid']",1.0,1.0,45e554bd-ecd1-40ad-abfb-ebf27b56322f
Shashwat,qm106,blue,2,1538,true,7Lcone|8H|9H,0.0,1.0,None,None,,3Lcone|4Lcube|4M|4H|6M|6H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,0.0,,Shashwat|qm|106|blue|2|1538|true|7Lcone|8H|9H|0|true||None||3Lcone|4Lcube|4M|4H|6M|6H|0||Engage|Engage|||false|false|0|0|0|,"['Low', 'High']",['High'],"['Low', 'Mid', 'High', 'Mid', 'High']",['Low'],1.0,1.0,4d24821f-6f2e-4c75-881e-a50189b56890
paul and Rachel,qm106,blue,3,3538,false,1Lcone|3Lcube,0.0,1.0,None,None, | ,1M|1H|2M|2H|3M|3H,0.5, | ,Engage,Engage,, | ,0.0,0.5,0.0,0.0,3.5, | ,paul|qm|106|blue|3|3538|false|1Lcone|3Lcube|0|true||||1M|1H|2M|2H|3M|3H|0||Engage|Engage|4||false|true|0|0|2|,['Low'],['Low'],"['Mid', 'High', 'Mid', 'High']","['Mid', 'High']",1.0,1.0,9b9539a8-cc00-4d3e-a2a9-6b9595c877ab
Nikhil,qm106,blue,1,3572,true,2H,0.0,1.0,None,None,,1Lcone|1M|1H|2M|3Lcone|3M|3H,0.0,,Engage,Engage,,,0.0,0.0,0.0,0.0,5.0,,Nikhil|qm|106|blue|1|3572|true|2H|0|true||None||1Lcone|1M|1H|2M|3Lcone|3M|3H|0||Engage|Engage|||false|false|0|0|5|,[],['High'],"['Low', 'Mid', 'High', 'Low', 'Mid', 'High']",['Mid'],1.0,1.0,287a88f7-498f-44cd-b2a4-11a4c874afcc
alexander,qm106,red,3,5804,true,4H,0.0,1.0,Engage,Engage,,,0.0,Tipped over,None,,,,0.0,1.0,0.0,0.0,2.0,,alexander|qm|106|red|3|5804|true|6H|0|true|Engage|Engage|||0|Tipped over|||||false|true|0|0|2|,['High'],[],[],[],0.0,0.0,d53ac32d-f9f5-49a0-bbf2-5c8a3f72aaa7
Chris,qm106,red,1,6817,true,8Lcube,0.0,1.0,None,,,,0.0,,None,,,,0.0,0.0,100.0,1.0,0.0,,Chris|qm|106|red|1|6817|true|2Lcube|0|true|||||0||||||false|false|100|1|0|,[],['Low'],[],[],0.0,0.0,90ad25dc-c512-428c-b6db-683e2ffb5b66
